raw_model_dir,sample_id,eval_method,artifact_file_slug,file_path,a_parse_ok,b_parse_ok,a_parse_error,b_parse_error,a_summary_path,b_summary_path
groq_qwen_qwen3-32b,587240115231,bypass7,netmiko_ssh_dispatcher.py,netmiko/ssh_dispatcher.py,False,True,nested_summary_json: Expecting value: line 1 column 1 (char 0),nested_summary_json_fallback_type_regex: Expecting value: line 1 column 1 (char 0),data\raw_model_outputs\groq_qwen_qwen3-32b\587240115231\bypass7\netmiko_ssh_dispatcher.py\a_summary.txt,data\raw_model_outputs\groq_qwen_qwen3-32b\587240115231\bypass7\netmiko_ssh_dispatcher.py\b_summary.txt
groq_qwen_qwen3-32b,651031498269,bypass7,gef.py,gef.py,False,False,nested_summary_json: Expecting value: line 1 column 1 (char 0),nested_summary_json: Expecting value: line 1 column 1 (char 0),data\raw_model_outputs\groq_qwen_qwen3-32b\651031498269\bypass7\gef.py\a_summary.txt,data\raw_model_outputs\groq_qwen_qwen3-32b\651031498269\bypass7\gef.py\b_summary.txt
groq_qwen_qwen3-32b,727878654500,bypass7,tests_conftest.py,tests/conftest.py,False,True,nested_summary_json: Expecting value: line 1 column 1 (char 0),nested_summary_json_fallback_type_regex: Expecting value: line 1 column 1 (char 0),data\raw_model_outputs\groq_qwen_qwen3-32b\727878654500\bypass7\tests_conftest.py\a_summary.txt,data\raw_model_outputs\groq_qwen_qwen3-32b\727878654500\bypass7\tests_conftest.py\b_summary.txt
groq_qwen_qwen3-32b,750908101200,bypass7,dspy_utils_parallelizer.py,dspy/utils/parallelizer.py,True,False,nested_summary_json_fallback_type_regex: Expecting value: line 1 column 1 (char 0),nested_summary_json: Expecting value: line 1 column 1 (char 0),data\raw_model_outputs\groq_qwen_qwen3-32b\750908101200\bypass7\dspy_utils_parallelizer.py\a_summary.txt,data\raw_model_outputs\groq_qwen_qwen3-32b\750908101200\bypass7\dspy_utils_parallelizer.py\b_summary.txt
groq_qwen_qwen3-32b,795115689640,bypass7,app_api_router.py,app/api/router.py,True,False,nested_summary_json_fallback_type_regex: Expecting value: line 1 column 1 (char 0),nested_summary_json: Expecting value: line 1 column 1 (char 0),data\raw_model_outputs\groq_qwen_qwen3-32b\795115689640\bypass7\app_api_router.py\a_summary.txt,data\raw_model_outputs\groq_qwen_qwen3-32b\795115689640\bypass7\app_api_router.py\b_summary.txt
groq_qwen_qwen3-32b,849853816180,bypass7,src_transformers_modeling_utils.py,src/transformers/modeling_utils.py,True,False,nested_summary_json_fallback_type_regex: Expecting value: line 1 column 1 (char 0),nested_summary_json: Expecting value: line 1 column 1 (char 0),data\raw_model_outputs\groq_qwen_qwen3-32b\849853816180\bypass7\src_transformers_modeling_utils.py\a_summary.txt,data\raw_model_outputs\groq_qwen_qwen3-32b\849853816180\bypass7\src_transformers_modeling_utils.py\b_summary.txt
groq_qwen_qwen3-32b,90998825390,bypass7,lotus_models_rm.py,lotus/models/rm.py,True,False,nested_summary_json_fallback_type_regex: Expecting value: line 1 column 1 (char 0),nested_summary_json: Expecting value: line 1 column 1 (char 0),data\raw_model_outputs\groq_qwen_qwen3-32b\90998825390\bypass7\lotus_models_rm.py\a_summary.txt,data\raw_model_outputs\groq_qwen_qwen3-32b\90998825390\bypass7\lotus_models_rm.py\b_summary.txt
groq_qwen_qwen3-32b,93075495244,bypass7,thunder_core_interpreter.py,thunder/core/interpreter.py,False,True,nested_summary_json: Expecting value: line 1 column 1 (char 0),nested_summary_json_fallback_type_regex: Expecting value: line 1 column 1 (char 0),data\raw_model_outputs\groq_qwen_qwen3-32b\93075495244\bypass7\thunder_core_interpreter.py\a_summary.txt,data\raw_model_outputs\groq_qwen_qwen3-32b\93075495244\bypass7\thunder_core_interpreter.py\b_summary.txt
groq_qwen_qwen3-32b,973399694447,bypass7,ray-curator_ray_curator_stages_filters_heuristic_filter.py,ray-curator/ray_curator/stages/filters/heuristic_filter.py,False,True,nested_summary_json: Expecting value: line 1 column 1 (char 0),nested_summary_json_fallback_type_regex: Expecting value: line 1 column 1 (char 0),data\raw_model_outputs\groq_qwen_qwen3-32b\973399694447\bypass7\ray-curator_ray_curator_stages_filters_heuristic_filter.py\a_summary.txt,data\raw_model_outputs\groq_qwen_qwen3-32b\973399694447\bypass7\ray-curator_ray_curator_stages_filters_heuristic_filter.py\b_summary.txt
llama-3.1-8b,102813106132,bypass7,benchmarks_benchmark_runner.py,,False,False,outer_json: Extra data: line 29 column 2 (char 1398),outer_json: Extra data: line 23 column 2 (char 1451),data\raw_model_outputs\llama-3.1-8b\102813106132\bypass7\benchmarks_benchmark_runner.py\a_summary.txt,data\raw_model_outputs\llama-3.1-8b\102813106132\bypass7\benchmarks_benchmark_runner.py\b_summary.txt
llama-3.1-8b,102813106132,bypass7,benchmarks_maxtext_trillium_model_configs.py,,False,False,"outer_json: Expecting ',' delimiter: line 12 column 46 (char 325)",outer_json: Unterminated string starting at: line 191 column 19 (char 7645),data\raw_model_outputs\llama-3.1-8b\102813106132\bypass7\benchmarks_maxtext_trillium_model_configs.py\a_summary.txt,data\raw_model_outputs\llama-3.1-8b\102813106132\bypass7\benchmarks_maxtext_trillium_model_configs.py\b_summary.txt
llama-3.1-8b,102813106132,bypass7,benchmarks_maxtext_v5p_model_configs.py,,False,False,outer_json: Extra data: line 26 column 2 (char 1314),outer_json: Extra data: line 53 column 2 (char 1789),data\raw_model_outputs\llama-3.1-8b\102813106132\bypass7\benchmarks_maxtext_v5p_model_configs.py\a_summary.txt,data\raw_model_outputs\llama-3.1-8b\102813106132\bypass7\benchmarks_maxtext_v5p_model_configs.py\b_summary.txt
llama-3.1-8b,102813106132,bypass7,MaxText_layers_models.py,,False,False,outer_json: Extra data: line 17 column 2 (char 763),outer_json: Extra data: line 65 column 2 (char 6876),data\raw_model_outputs\llama-3.1-8b\102813106132\bypass7\MaxText_layers_models.py\a_summary.txt,data\raw_model_outputs\llama-3.1-8b\102813106132\bypass7\MaxText_layers_models.py\b_summary.txt
llama-3.1-8b,102813106132,bypass7,MaxText_layers_quantizations.py,,False,False,outer_json: Extra data: line 47 column 2 (char 3104),outer_json: Extra data: line 179 column 2 (char 7360),data\raw_model_outputs\llama-3.1-8b\102813106132\bypass7\MaxText_layers_quantizations.py\a_summary.txt,data\raw_model_outputs\llama-3.1-8b\102813106132\bypass7\MaxText_layers_quantizations.py\b_summary.txt
llama-3.1-8b,102813106132,bypass7,MaxText_pyconfig.py,,False,False,outer_json: Extra data: line 50 column 2 (char 1696),"outer_json: Expecting ',' delimiter: line 112 column 283 (char 4806)",data\raw_model_outputs\llama-3.1-8b\102813106132\bypass7\MaxText_pyconfig.py\a_summary.txt,data\raw_model_outputs\llama-3.1-8b\102813106132\bypass7\MaxText_pyconfig.py\b_summary.txt
